,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,Percentage Own,Value,1d,1w,1m,6m,company
0,D,2021-05-25 17:23:52,2021-05-21,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale+OE,"$3,250.00",-492,88538,-1%,"-$1,599,000",,,,,AMZN
1,D,2021-05-25 17:13:11,2021-05-21,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,250.00",-105,2469,-4%,"-$341,250",,,,,AMZN
2,D,2021-05-18 18:27:25,2021-05-17,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale+OE,"$3,245.93",-848,87780,-1%,"-$2,752,549",,,,,AMZN
3,D,2021-05-18 18:21:17,2021-05-17,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale+OE,"$3,245.93",-784,2384,-25%,"-$2,544,809",,,,,AMZN
4,D,2021-05-18 18:13:46,2021-05-17,AMZN,Zapolsky David,SVP,S - Sale+OE,"$3,245.93",-1092,3456,-24%,"-$3,544,556",,,,,AMZN
5,D,2021-05-18 18:07:36,2021-05-17,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$3,245.93",-910,1921,-32%,"-$2,953,796",,,,,AMZN
6,D,2021-05-18 18:00:33,2021-05-17,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$3,245.93",-222,6122,-3%,"-$720,596",,,,,AMZN
7,,2021-05-11 17:06:43,2021-05-10,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,260.87",-17253,51209269,0%,"-$56,259,806",,,,,AMZN
8,,2021-05-11 16:55:29,2021-05-10,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,226.09",-74887,51226522,0%,"-$241,592,059",,,,,AMZN
9,M,2021-05-11 16:46:50,2021-05-07,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,230.68",-77875,51301409,0%,"-$251,589,499",,,,,AMZN
10,,2021-05-11 16:35:00,2021-05-07,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,305.48",-351921,51379284,-1%,"-$1,163,269,106",,,,,AMZN
11,,2021-05-07 17:12:04,2021-05-06,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,304.40",-66629,51731205,0%,"-$220,169,135",,,,,AMZN
12,,2021-05-07 17:04:04,2021-05-06,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,285.00",-234589,51797834,0%,"-$770,623,911",,,,,AMZN
13,M,2021-05-07 16:54:25,2021-05-05,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,285.89",-99012,52032423,0%,"-$325,342,654",,,,,AMZN
14,,2021-05-07 16:46:41,2021-05-05,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,312.69",-186144,52131435,0%,"-$616,636,742",,,,,AMZN
15,,2021-05-07 16:35:31,2021-05-05,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,279.76",-152658,52317579,0%,"-$500,682,239",,,,,AMZN
16,,2021-05-05 17:14:42,2021-05-04,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,351.03",-51196,52470237,0%,"-$171,559,456",,,,,AMZN
17,,2021-05-05 17:07:29,2021-05-04,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,323.40",-108430,52521433,0%,"-$360,356,083",,,,,AMZN
18,,2021-05-05 16:58:39,2021-05-04,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,291.63",-207890,52629863,0%,"-$684,296,645",,,,,AMZN
19,M,2021-05-05 16:49:19,2021-05-03,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,456.57",-111945,52837753,0%,"-$386,945,486",,,,,AMZN
20,,2021-05-05 16:40:42,2021-05-03,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,418.82",-98673,52949698,0%,"-$337,345,133",,,,,AMZN
21,,2021-05-05 16:30:28,2021-05-03,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$3,390.04",-160898,53048371,0%,"-$545,450,065",,,,,AMZN
22,,2021-05-03 17:12:58,2021-04-29,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale,"$3,506.80",-278,1743,-14%,"-$974,890",,,,,AMZN
23,,2021-02-23 16:57:03,2021-02-19,AMZN,Zapolsky David,SVP,S - Sale,"$3,328.23",-179,3488,-5%,"-$595,753",,,,,AMZN
24,,2021-02-17 17:25:50,2021-02-16,AMZN,Clark David H,CEO Worldwide Consumer,S - Sale,"$3,257.88",-1019,29757,-3%,"-$3,319,780",,,,,AMZN
25,D,2021-02-17 17:08:35,2021-02-16,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale+OE,"$3,301.02",-1099,86475,-1%,"-$3,627,819",,,,,AMZN
