,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenuePerShare,15.820258033039078,14.085283273500087,13.39933369348084,10.984443504824963,9.854052957326324,10.15547967026922,7.509359843248918,6.59648122826164,5.9793151485866005,4.182853396222391,2.5613679813804944,1.461220019734089,1.3157609026786605,0.9916286155450157,0.8172678045482995,0.6154276504296728,0.39785593184500584,0.30734819168148525,0.28881509958738977,0.2770956449637518,0.439210185318859,0.3825719814110183,0.4019325235057122,0.5015247599253881,0.7095433983960986,0.8026839918312283,0.6909705887660997,0.5970808383233533,0.5165451895043732,0.46830463182897863,0.3944081748509793,0.366638912017763,0.27983227935111354,0.1805291723202171,0.13200999444752914,0.13834391229082516
netIncomePerShare,3.3085872682177895,2.9914457730615696,3.0033537307050504,2.3168850515272243,2.0877583250774108,2.3200979034908102,1.6231013288479703,1.4294884749349153,1.594389801773485,1.00165290891257,0.5502866925731678,0.2281194129940401,0.19583078923454064,0.14441113221467028,0.08415975476295975,0.05897609025365108,0.013263466262739656,0.0034166304536849498,0.0032694150945977592,-0.001291700750343799,0.04324429483410036,0.03748382145875807,0.020905091695550423,-0.0740140339107514,-0.05888207191001896,0.030766408654532704,0.023324600400652113,0.006511976047904192,0.038629737609329445,0.023010688836104513,0.03370706783990917,0.0315015265056897,0.027495188342040143,0.014721845318860245,0.010688506385341476,0.004399884593190999
operatingCashFlowPerShare,4.649230448454163,3.7566854936751732,3.9065645257666572,3.047491375711535,3.0265572619826644,3.5312034353126602,2.4530561794355568,2.071305140693284,1.9429297620346573,1.450159401997525,0.7302205843429711,0.4062877132900514,0.388744777305472,0.22595220057615745,0.09393396459214211,0.11198830621198913,0.04488433872970594,0.0143102347987674,0.004526882438673821,0.009558585552544113,0.045445022306573664,0.049770531654058134,0.05243186428495656,0.013315443421264367,0.03745072956041647,-0.017414948295018513,0.05542015833578978,-0.04872754491017964,0.06712827988338192,0.014029097387173397,0.06840760715299461,0.03517901748542881,0.020208963431399506,0.012754409769335142,0.02186285397001666,0.019114252740911712
freeCashFlowPerShare,4.2280138811865,3.1885078588792926,3.2349203703371106,2.4343800805099707,2.444651807224511,3.0320221655950435,2.0499305570618507,1.721005780634173,1.583730736892101,1.1622064092802782,0.6469294921466042,0.35777634443279854,0.34017193570592424,0.18522297392751189,0.06613458858446762,0.10050232608768256,0.036426476185350214,0.0061895479233423,-0.004225090276095566,-0.002428397410646342,0.03955807631770758,0.04683918455162614,0.04864323925275325,-0.0176358798505044,0.03261604963643207,-0.028952351540468275,0.04341961992191495,-0.06467065868263473,0.05291545189504373,-0.002152612826603325,0.052512063582174286,0.018595614765473216,0.010310695628265053,0.006919945725915875,0.017212659633536923,0.01521927293710329
cashPerShare,5.241031369137106,5.443948396585932,3.344901911600268,3.5546079710314378,3.0687812795888,1.8076636491576055,1.0301825366621247,1.564922636949836,1.1128598599635742,1.0028121399621566,1.0060904205897778,0.9383930411101257,0.9921175068998552,0.6355576888601021,0.42778035226421474,0.36494493002652556,0.2625781871724981,0.22609180654384756,0.21814543485031512,0.2240325781396285,0.22155823829124954,0.2012026755839493,0.15560424239406462,0.10333634016821655,0.12591815622914593,0.06907929490357344,0.09458758700347111,0.05059880239520958,0.03637026239067055,0.044833729216152016,0.02661084303150724,0.030391340549542047,0.025570525158097334,0.038331071913161464,0.03997779011660189,0.024307559145989612
bookValuePerShare,3.765476712094932,4.898833522383005,5.405592753084175,6.423269229221109,5.8605931103564,5.186262225552415,4.582436950873311,4.768525301448115,4.516157919815102,2.9604828954685813,1.876739550757458,1.2653748645041074,0.8519490065375237,0.6002810564483949,0.42244896508466073,0.3298243369541266,0.24393244474516845,0.2091076870421963,0.20597315095965885,0.2025386776539077,0.22595969323619616,0.19359364693508327,0.11108789826567571,0.08499219205062361,0.14850404900835665,0.21050318751603628,0.17921820199844793,0.15164670658682636,0.15940233236151605,0.13116092636579574,0.10268237297757593,0.10310852067721343,0.06894418476766566,0.056716417910447764,0.048167684619655746,0.039671090594345065
tangibleBookValuePerShare,3.765476712094932,4.898833522383005,5.405592753084175,6.039206155282811,5.466685067320804,4.794799476693953,4.222651543683979,4.546365416421645,4.311419824118553,2.7892258284096925,1.8342104357887332,1.2430188420876158,0.8293032863922799,0.5863604181313629,0.41495963547528725,0.3239046395054455,0.23806960820874004,0.2037104012530418,0.19998760640185678,0.19861190737286255,0.22595969323619616,0.19359364693508327,0.11108789826567571,0.08499219205062361,0.14850404900835665,0.21050318751603628,0.17921820199844793,0.38705089820359284,0.30787172011661806,0.25935273159144895,0.21118365029804145,0.1903968914793228,0.14311245532031894,0.10027137042062415,0.08051082731815658,0.0675129832660127
shareholdersEquityPerShare,3.765476712094932,4.898833522383005,5.405592753084175,6.423269229221109,5.8605931103564,5.186262225552415,4.582436950873311,4.768525301448115,4.516157919815102,2.9604828954685813,1.876739550757458,1.2653748645041074,0.8519490065375237,0.6002810564483949,0.42244896508466073,0.3298243369541266,0.24393244474516845,0.2091076870421963,0.20597315095965885,0.2025386776539077,0.22595969323619616,0.19359364693508327,0.11108789826567571,0.08499219205062361,0.14850404900835665,0.21050318751603628,0.17921820199844793,0.15164670658682636,0.15940233236151605,0.13116092636579574,0.10268237297757593,0.10310852067721343,0.06894418476766566,0.056716417910447764,0.048167684619655746,0.039671090594345065
interestDebtPerShare,6.645240272960322,6.043038792646076,5.939154578955345,5.654472228813614,3.8836956799894713,2.718426132904232,1.4657208886855664,0.6598411039632613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144168111551518,0.00039613106709390723,0.01644767286051488,0.017205453994579404,0.017660837966598238,0.021642073288168136,0.06873648272711724,0.0741556875641691,0.08623048521136355,0.05892057506481263,0.047814535971461056,0.06646706586826347,0.018002915451895043,0.01105997624703088,0.008728356514334373,0.00395503746877602,0.021652460819356612,0.0,0.0,0.0
